node,label,sponsor,node_type,size,color,shape,sponsored,cosponsored,source
55,"Bowman, Jamaal [Rep.-D-NY-16]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
56,"Britt, Katie Boyd [Sen.-R-AL]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
57,"Budd, Ted [Sen.-R-NC]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
58,"Burlison, Eric [Rep.-R-MO-7]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
59,"Bush, Cori [Rep.-D-MO-1]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
60,"Calvert, Ken [Rep.-R-CA-41]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
61,"Cammack, Kat [Rep.-R-FL-3]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
62,"Capito, Shelley Moore [Sen.-R-WV]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
63,"Carey, Mike [Rep.-R-OH-15]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 5988,13.0
64,"Carter, John R. [Rep.-R-TX-31]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
65,"Carter, Troy [Rep.-D-LA-2]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
66,"Casar, Greg [Rep.-D-TX-35]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
67,"Chu, Judy [Rep.-D-CA-28]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
68,"Cloud, Michael [Rep.-R-TX-27]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 19,2.0
69,"Clyde, Andrew S. [Rep.-R-GA-9]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
70,"Cohen, Steve [Rep.-D-TN-9]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
71,"Collins, Mike [Rep.-R-GA-10]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
72,"Comer, James [Rep.-R-KY-1]",NA,cosponsor,60.0,#B22222,o,NA,H.J.Res. 12,1.0
73,"Cornyn, John [Sen.-R-TX]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
74,"Cramer, Kevin [Sen.-R-ND]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
75,"Crapo, Mike [Sen.-R-ID]",NA,cosponsor,60.0,#B22222,o,NA,S.J.Res. 13,22.0
76,"Cárdenas, Tony [Rep.-D-CA-29]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
77,"Davidson, Warren [Rep.-R-OH-8]",NA,cosponsor,60.0,#B22222,o,NA,H.R. 25,10.0
78,"DelBene, Suzan K. [Rep.-D-WA-1]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 5988,13.0
79,"Deluzio, Christopher R. [Rep.-D-PA-17]",NA,cosponsor,60.0,#0047AB,o,NA,H.R. 1046,9.0
